,Course Code,Course Name,2020 Round 1,2020 Round 2
1337,TU882,Nutraceuticals in Health and Nutrition,397,
1338,TU901,Business,270,
1339,TU902,Business (Common Entry with Award options),271,
1340,TU903,Business and Management,463,
1341,TU904,Business and Law,462,
1342,TU905,Economics and Finance,465,
1343,TU906,Human Resource Management,395,
1344,TU907,Logistics and Supply Chain Management,300,
1345,TU908,Management,262,253
1346,TU909,Accounting and Finance,285,
1347,TU910,Accounting and Finance,444,
1348,TU911,Accounting and Finance,209,192
1349,TU912,Business Analytics,330,
1350,TU913,Business and Information Technology,252,
1351,TU914,Business Computing,324,
1352,TU915,International Business,252,
1353,TU916,International Business,235,235
1354,TU917,Law (LLB ) with a Language,342,
1355,TU918,Law (LLB),451,
1356,TU919,Advertising and Marketing Communications,228,226
1357,TU920,Digital Marketing,270,
1358,TU921,Digital Marketing Technologies,212,212
1359,TU922,Marketing,418,
1360,TU923,Marketing Management,228,276
1361,TU924,E-Commerce in Retailing,307,
1362,TU925,Retail and Services Management,301,
1363,TU935,Sports Management and Coaching,300,
1364,TU936,Sports Science and Health,410,391
1365,TU941,Botanical Cuisine,249,
1366,TU942,Culinary Arts,212,212
1367,TU943,Culinary Entrepreneurship,278,
1368,TU944,Culinary Science,316,
1369,TU951,International Hospitality and Tourism Management,184,184
1370,TU952,International Hospitality Management,300,
1371,TU953,Tourism and Digital Marketing,290,
1372,TU954,Event Management,356,
1373,TU955,Sports & Leisure Management,217,317
1374,TU961,Commercial Modern Music,608,608
1375,TU962,Drama (Performance),379,
1376,TU963,Music,416,
1377,TU965,International Business and Languages,356,346
1378,TU966,Languages and English Studies,366,
1379,TU967,Languages and International Tourism,308,
1380,TU971,Contemporary Visual Culture,290,
1381,TU972,Creative and Cultural Industries,281,
1382,TU973,Design - Visual Communication,717,
1383,TU974,Fine Art,709,563
1384,TU975,Interior Design,632,
1385,TU976,Photography,695,
1386,TU981,Creative Digital Media,280,
1387,TU982,Creative Digital Media,320,311
1388,TU983,Film and Broadcasting,456,451
1389,TU984,Game Design,381,
1390,TU985,Journalism,322,
1391,TU986,Print Media Technology and Management,289,
1392,TU991,Applied Social Studies in Social Care,325,
1393,TU992,Community and Youth Development,251,
1394,TU993,Early Childhood Care and Education,270,
1395,TU994,Early Childhood Care and Education,321,251
1396,TU995,Early Childhood Education,367,
1397,TU996,Social Care,400,
1398,TU997,Applied Social Care,310,283
1399,WD001,Applied Computing (options),260,260
1400,WD002,Science (options),308,
1401,WD003,Business,AQA,171
1402,WD005,Health Sciences (options),280,
1403,WD006,Exercise Sciences (options),280,
1404,WD007,Engineering (options),288,288
1405,WD010,Electronic Engineering,181,
1406,WD011,Mechanical Engineering,198,
1407,WD013,Legal Studies,177,
1408,WD018,Applied Social Care,171,
1409,WD019,Recreation and Sport Management,174,
1410,WD025,Construction Management and Engineering,269,
1411,WD027,Music,262,
1412,WD048,Business (options),271,
1413,WD076,Forestry,243,
1414,WD084,Accounting,308,
1415,WD091,Hospitality Management,228,
1416,WD094,Architectural Technology,166,150
1417,WD096,Horticulture (Waterford - Kildalton),260,
1418,WD097,Horticulture (Dublin - National Botanic Gardens),AQA,
1419,WD116,General Nursing,422,
1420,WD117,Psychiatric Nursing,366,
1421,WD120,Intellectual Disability Nursing,377,
1422,WD126,Agriculture,327,
1423,WD134,International Business,290,
1424,WD137,Design (Visual Communications),271,
1425,WD139,Civil Engineering,206,
1426,WD140,Laws,280,
1427,WD144,Architecture,284,
1428,WD147,Pharmaceutical Science,293,
1429,WD149,Early Childhood Studies,271,
1430,WD150,Criminal Justice Studies,270,
1431,WD151,Software Systems Development,AQA,AQA
1432,WD152,Visual Art,AQA,
1433,WD153,Multimedia Applications Development,163,
1434,WD155,Information Technology,211,
1435,WD159,Business,195,
1436,WD161,Computer Forensics and Security,255,
1437,WD162,Quantity Surveying,216,
1438,WD163,Psychology,434,
1439,WD164,Food Science with Business,309,
1440,WD172,Culinary Arts,AQA,AQA
1441,WD173,Hospitality Studies,AQA,
1442,WD174,Tourism,AQA,
1443,WD175,Pharmaceutical Science,226,
1444,WD177,"Science (Mol. Biology with Biopharm.,Food Science with Business,Pharm.)",222,
1445,WD182,Electrical Engineering,AQA,
1446,WD184,Retail Management,163,
1447,WD186,Sports Coaching and Performance,270,
1448,WD187,Social Science,272,
1449,WD188,Applied Health Care,201,
1450,WD191,Agricultural Science,377,
1451,WD192,Social Care Practice,270,
1452,WD193,Marketing and Digital Media,271,
1453,WD194,Culinary Arts,217,
1454,WD195,Architectural and Building Information Modelling Technology,279,
1455,WD200,Arts (options),AQA,AQA
1456,WD205,Molecular Biology with Biopharmaceutical Science,228,
1457,WD206,Electronic Engineering,179,
1458,WD207,Mechanical Engineering,198,
1459,WD208,Manufacturing Engineering,188,
1460,WD210,Software Systems Development,279,
1461,WD211,Creative Computing,271,
1462,WD212,Recreation and Sport Management,270,
1463,WD230,Mechanical and Manufacturing Engineering,253,
